Intersección (153,): -0.006795
Intersección (165,): -0.037344
Intersección (177,): 0.031969
Intersección (189,): -0.037289
Intersección (201,): 0.016891
Intersección (213,): 0.023968
Intersección (225,): -0.030400
Intersección (237,): -0.007421
Intersección (348,): -0.084551
Intersección (361,): 0.017461
Intersección (386,): 0.027339
Intersección (399,): 0.157738
Intersección (456,): -0.107051
Intersección (480,): -0.068750
Intersección (516,): -0.007705
Intersección (540,): 0.000000
Intersección (598,): 0.012105
Intersección (599,): 0.000000
Intersección (691,): -0.028683
Intersección (716,): -0.028365
Intersección (728,): -0.054452
Intersección (753,): 0.097433
Intersección (810,): -0.007541
Intersección (834,): 0.167087
Intersección (859,): -0.069575
Intersección (883,): -0.024121
Intersección (936,): 0.000000
Intersección (948,): 0.009176
Intersección (960,): 0.000000
Intersección (972,): 0.173884
Intersección (984,): -0.052657
Intersección (996,): -0.053751
Intersección (1008,): 0.013252
Intersección (1020,): -0.145506
Intersección (1211,): -0.168960
Intersección (1223,): 0.000000
Intersección (1259,): -0.019173
Intersección (1271,): 0.043297
