Intersección (153,): -0.003516
Intersección (165,): 0.006146
Intersección (177,): -0.012371
Intersección (189,): 0.000000
Intersección (201,): -0.019067
Intersección (213,): 0.004150
Intersección (225,): 0.007897
Intersección (237,): -0.040626
Intersección (348,): -0.008355
Intersección (361,): 0.018565
Intersección (386,): 0.049473
Intersección (399,): 0.107807
Intersección (456,): -0.065099
Intersección (480,): -0.018639
Intersección (516,): -0.023481
Intersección (540,): 0.031614
Intersección (598,): 0.028855
Intersección (599,): -0.032807
Intersección (691,): -0.022049
Intersección (716,): -0.033547
Intersección (728,): -0.048165
Intersección (753,): -0.034739
Intersección (810,): -0.008204
Intersección (834,): 0.051558
Intersección (859,): 0.022290
Intersección (883,): -0.020535
Intersección (936,): 0.000000
Intersección (948,): -0.202120
Intersección (960,): -0.039998
Intersección (972,): -0.002745
Intersección (984,): -0.001949
Intersección (996,): -0.002206
Intersección (1008,): 0.000000
Intersección (1020,): -0.035454
Intersección (1211,): 0.024146
Intersección (1223,): 0.009609
Intersección (1259,): 0.249450
Intersección (1271,): -0.008931
