Intersección (153,): -0.008347
Intersección (165,): 0.000000
Intersección (177,): 0.000000
Intersección (189,): 0.000000
Intersección (201,): 0.000000
Intersección (213,): 0.003715
Intersección (225,): 0.008947
Intersección (237,): 0.000000
Intersección (348,): -0.003859
Intersección (361,): -0.009421
Intersección (386,): -0.010011
Intersección (399,): 0.000000
Intersección (456,): 0.000000
Intersección (480,): -0.111065
Intersección (516,): -0.004780
Intersección (540,): 0.000000
Intersección (598,): -0.053321
Intersección (599,): 0.028639
Intersección (691,): 0.000000
Intersección (716,): 0.008366
Intersección (728,): -0.003507
Intersección (753,): 0.000000
Intersección (810,): -0.005189
Intersección (834,): 0.000000
Intersección (859,): 0.022144
Intersección (883,): 0.012488
Intersección (936,): -0.027924
Intersección (948,): 0.000000
Intersección (960,): 0.000000
Intersección (972,): -0.011799
Intersección (984,): 0.000000
Intersección (996,): 0.000000
Intersección (1008,): -0.011928
Intersección (1020,): 0.000000
Intersección (1211,): 0.046555
Intersección (1223,): 0.027502
Intersección (1259,): 0.008666
Intersección (1271,): 0.000000
