Intersección (153,): -0.004030
Intersección (165,): 0.008139
Intersección (177,): -0.012450
Intersección (189,): 0.012216
Intersección (201,): 0.000000
Intersección (213,): -0.013229
Intersección (225,): -0.046819
Intersección (237,): 0.000000
Intersección (348,): 0.000000
Intersección (361,): 0.008509
Intersección (386,): 0.000000
Intersección (399,): -0.011500
Intersección (456,): 0.000000
Intersección (480,): -0.006455
Intersección (516,): 0.022542
Intersección (540,): -0.007056
Intersección (598,): -0.040229
Intersección (599,): 0.000000
Intersección (691,): 0.008133
Intersección (716,): 0.027134
Intersección (728,): -0.013612
Intersección (753,): 0.000000
Intersección (810,): 0.000000
Intersección (834,): -0.042041
Intersección (859,): 0.000000
Intersección (883,): 0.017023
Intersección (936,): 0.026138
Intersección (948,): 0.028214
Intersección (960,): 0.000000
Intersección (972,): 0.055354
Intersección (984,): -0.036650
Intersección (996,): 0.007772
Intersección (1008,): 0.012224
Intersección (1020,): 0.000000
Intersección (1211,): -0.012242
Intersección (1223,): 0.005884
Intersección (1259,): 0.000000
Intersección (1271,): 0.000000
