Intersección (153,): 0.009337
Intersección (165,): -0.017950
Intersección (177,): 0.150618
Intersección (189,): -0.048235
Intersección (201,): -0.532959
Intersección (213,): 0.008749
Intersección (225,): 0.050525
Intersección (237,): -0.085138
Intersección (348,): -0.027585
Intersección (361,): -0.143994
Intersección (386,): 0.028251
Intersección (399,): 0.224090
Intersección (456,): 0.220924
Intersección (480,): -0.025892
Intersección (516,): -0.051830
Intersección (540,): 0.011751
Intersección (598,): 0.189693
Intersección (599,): -0.074727
Intersección (691,): -0.089174
Intersección (716,): -0.123814
Intersección (728,): -0.062454
Intersección (753,): -0.043408
Intersección (810,): 0.030686
Intersección (834,): 0.000000
Intersección (859,): -0.147694
Intersección (883,): 0.011163
Intersección (936,): -0.072806
Intersección (948,): -0.247616
Intersección (960,): -0.035266
Intersección (972,): 0.029446
Intersección (984,): -0.158867
Intersección (996,): -0.009999
Intersección (1008,): -0.017666
Intersección (1020,): 0.067802
Intersección (1211,): 0.000000
Intersección (1223,): 0.000000
Intersección (1259,): 0.080700
Intersección (1271,): 0.000000
