Intersección (153,): 0.016542
Intersección (165,): -0.052724
Intersección (177,): -0.032332
Intersección (189,): 0.147459
Intersección (201,): -0.119669
Intersección (213,): 0.216138
Intersección (225,): -0.043938
Intersección (237,): 0.034658
Intersección (348,): -0.045825
Intersección (361,): 0.043690
Intersección (386,): 0.062505
Intersección (399,): 0.000000
Intersección (456,): 0.209726
Intersección (480,): -0.062816
Intersección (516,): -0.019634
Intersección (540,): 0.000000
Intersección (598,): -0.044921
Intersección (599,): 0.000000
Intersección (691,): -0.017356
Intersección (716,): 0.131822
Intersección (728,): -0.023870
Intersección (753,): 0.030654
Intersección (810,): 0.024159
Intersección (834,): 0.000000
Intersección (859,): -0.045543
Intersección (883,): 0.021448
Intersección (936,): 0.000000
Intersección (948,): -0.021429
Intersección (960,): 0.000000
Intersección (972,): 0.034884
Intersección (984,): -0.021131
Intersección (996,): 0.020597
Intersección (1008,): 0.009409
Intersección (1020,): -0.159903
Intersección (1211,): 0.066410
Intersección (1223,): 0.000000
Intersección (1259,): -0.033485
Intersección (1271,): 0.083674
