Intersección (153,): -0.004090
Intersección (165,): 0.000000
Intersección (177,): 0.009808
Intersección (189,): 0.000000
Intersección (201,): 0.000000
Intersección (213,): -0.055515
Intersección (225,): 0.043658
Intersección (237,): 0.009556
Intersección (348,): -0.006853
Intersección (361,): 0.015682
Intersección (386,): 0.008477
Intersección (399,): 0.000000
Intersección (456,): 0.000000
Intersección (480,): 0.000000
Intersección (516,): -0.012156
Intersección (540,): 0.000000
Intersección (598,): 0.000000
Intersección (599,): 0.092541
Intersección (691,): 0.000000
Intersección (716,): 0.000000
Intersección (728,): 0.036520
Intersección (753,): -0.031237
Intersección (810,): 0.015135
Intersección (834,): -0.046410
Intersección (859,): 0.010037
Intersección (883,): 0.022346
Intersección (936,): -0.023214
Intersección (948,): -0.013222
Intersección (960,): 0.000000
Intersección (972,): 0.000000
Intersección (984,): 0.000000
Intersección (996,): 0.000000
Intersección (1008,): 0.000948
Intersección (1020,): 0.000000
Intersección (1211,): 0.000000
Intersección (1223,): 0.000000
Intersección (1259,): 0.000000
Intersección (1271,): 0.005952
