Intersección (153,): -0.017700
Intersección (165,): -0.110349
Intersección (177,): -0.103568
Intersección (189,): 0.150902
Intersección (201,): -0.017328
Intersección (213,): -0.091885
Intersección (225,): -0.033365
Intersección (237,): -0.010798
Intersección (348,): -0.055328
Intersección (361,): -0.008011
Intersección (386,): -0.065406
Intersección (399,): -0.056004
Intersección (456,): -0.036662
Intersección (480,): -0.013897
Intersección (516,): -0.266669
Intersección (540,): 0.006678
Intersección (598,): 0.000000
Intersección (599,): 0.000000
Intersección (691,): 0.013693
Intersección (716,): 0.000000
Intersección (728,): 0.149792
Intersección (753,): 0.241344
Intersección (810,): -0.041630
Intersección (834,): -0.001142
Intersección (859,): 0.067477
Intersección (883,): -0.147282
Intersección (936,): 0.058688
Intersección (948,): 0.010912
Intersección (960,): 0.053428
Intersección (972,): -0.124245
Intersección (984,): -0.025099
Intersección (996,): 0.034510
Intersección (1008,): 0.019670
Intersección (1020,): -0.151694
Intersección (1211,): 0.107815
Intersección (1223,): -0.454980
Intersección (1259,): 0.036767
Intersección (1271,): -0.012277
