Intersección (153,): 0.029448
Intersección (165,): 0.024173
Intersección (177,): 0.017491
Intersección (189,): -0.046571
Intersección (201,): -0.033717
Intersección (213,): -0.020179
Intersección (225,): 0.013149
Intersección (237,): -0.014909
Intersección (348,): 0.003039
Intersección (361,): -0.004903
Intersección (386,): -0.010954
Intersección (399,): 0.000000
Intersección (456,): -0.005263
Intersección (480,): 0.010803
Intersección (516,): 0.020509
Intersección (540,): 0.000000
Intersección (598,): 0.189383
Intersección (599,): 0.032447
Intersección (691,): 0.034293
Intersección (716,): 0.028323
Intersección (728,): 0.000000
Intersección (753,): 0.073343
Intersección (810,): 0.015556
Intersección (834,): 0.143110
Intersección (859,): -0.031988
Intersección (883,): 0.023575
Intersección (936,): 0.000000
Intersección (948,): -0.034958
Intersección (960,): 0.045366
Intersección (972,): -0.021539
Intersección (984,): 0.000000
Intersección (996,): 0.030714
Intersección (1008,): 0.076173
Intersección (1020,): 0.045837
Intersección (1211,): 0.083728
Intersección (1223,): 0.065018
Intersección (1259,): 0.025873
Intersección (1271,): 0.079912
