Intersección (153,): 0.013216
Intersección (165,): 0.000000
Intersección (177,): -0.004977
Intersección (189,): 0.000000
Intersección (201,): 0.000000
Intersección (213,): -0.007208
Intersección (225,): -0.015299
Intersección (237,): 0.011957
Intersección (348,): 0.000000
Intersección (361,): 0.010287
Intersección (386,): 0.003337
Intersección (399,): 0.000000
Intersección (456,): -0.019454
Intersección (480,): -0.017870
Intersección (516,): 0.000000
Intersección (540,): 0.000000
Intersección (598,): 0.000000
Intersección (599,): 0.042174
Intersección (691,): 0.000000
Intersección (716,): 0.000000
Intersección (728,): 0.033853
Intersección (753,): -0.052555
Intersección (810,): -0.013028
Intersección (834,): 0.034878
Intersección (859,): -0.051077
Intersección (883,): -0.007338
Intersección (936,): 0.000000
Intersección (948,): 0.000000
Intersección (960,): 0.009862
Intersección (972,): 0.010112
Intersección (984,): 0.000000
Intersección (996,): -0.029674
Intersección (1008,): 0.000000
Intersección (1020,): 0.012900
Intersección (1211,): -0.014987
Intersección (1223,): -0.021737
Intersección (1259,): 0.011264
Intersección (1271,): -0.008963
