Intersección (153,): 0.005114
Intersección (165,): 0.008365
Intersección (177,): 0.000000
Intersección (189,): -0.006527
Intersección (201,): 0.046306
Intersección (213,): 0.003016
Intersección (225,): 0.036468
Intersección (237,): 0.000000
Intersección (348,): 0.003481
Intersección (361,): -0.015945
Intersección (386,): 0.015378
Intersección (399,): 0.000000
Intersección (456,): 0.000000
Intersección (480,): 0.011542
Intersección (516,): 0.005411
Intersección (540,): 0.018034
Intersección (598,): 0.010469
Intersección (599,): -0.037958
Intersección (691,): 0.000000
Intersección (716,): 0.000000
Intersección (728,): 0.000000
Intersección (753,): -0.042183
Intersección (810,): -0.011368
Intersección (834,): 0.000000
Intersección (859,): -0.003293
Intersección (883,): 0.000000
Intersección (936,): 0.014672
Intersección (948,): -0.028145
Intersección (960,): -0.013123
Intersección (972,): -0.015067
Intersección (984,): 0.047059
Intersección (996,): 0.000000
Intersección (1008,): 0.045863
Intersección (1020,): -0.012008
Intersección (1211,): 0.017077
Intersección (1223,): -0.008311
Intersección (1259,): -0.012838
Intersección (1271,): 0.014191
