Intersección (153,): -0.003473
Intersección (165,): 0.004480
Intersección (177,): 0.027658
Intersección (189,): 0.000000
Intersección (201,): -0.036874
Intersección (213,): -0.019483
Intersección (225,): -0.029021
Intersección (237,): 0.112486
Intersección (348,): 0.021856
Intersección (361,): -0.043949
Intersección (386,): -0.029235
Intersección (399,): 0.000000
Intersección (456,): -0.006323
Intersección (480,): 0.112870
Intersección (516,): 0.073632
Intersección (540,): -0.044303
Intersección (598,): 0.000000
Intersección (599,): 0.000000
Intersección (691,): -0.055656
Intersección (716,): -0.711110
Intersección (728,): -0.070605
Intersección (753,): 0.005451
Intersección (810,): 0.000000
Intersección (834,): 0.036610
Intersección (859,): -0.116853
Intersección (883,): -0.039464
Intersección (936,): -0.149736
Intersección (948,): -0.093302
Intersección (960,): 0.004953
Intersección (972,): 0.163445
Intersección (984,): -0.050247
Intersección (996,): 0.028545
Intersección (1008,): -0.477071
Intersección (1020,): -0.048085
Intersección (1211,): -0.018108
Intersección (1223,): 0.014549
Intersección (1259,): -0.020828
Intersección (1271,): -0.003361
