Intersección (153,): -0.008167
Intersección (165,): 0.002872
Intersección (177,): 0.000000
Intersección (189,): 0.000000
Intersección (201,): 0.000000
Intersección (213,): 0.000000
Intersección (225,): 0.382606
Intersección (237,): -0.054547
Intersección (348,): -0.016632
Intersección (361,): -0.040671
Intersección (386,): -0.290577
Intersección (399,): 0.000000
Intersección (456,): -0.122582
Intersección (480,): -0.159638
Intersección (516,): -0.257741
Intersección (540,): 0.374790
Intersección (598,): -0.060337
Intersección (599,): -0.138965
Intersección (691,): 0.128395
Intersección (716,): 0.047326
Intersección (728,): 0.162834
Intersección (753,): -0.303196
Intersección (810,): 0.043972
Intersección (834,): 0.026720
Intersección (859,): 0.017242
Intersección (883,): 0.433354
Intersección (936,): 0.000000
Intersección (948,): 0.000000
Intersección (960,): 0.000000
Intersección (972,): 0.528452
Intersección (984,): -0.201547
Intersección (996,): 0.000000
Intersección (1008,): 0.008183
Intersección (1020,): 0.014738
Intersección (1211,): -0.033085
Intersección (1223,): 0.000000
Intersección (1259,): 0.000000
Intersección (1271,): 0.000000
