Intersección (153,): -0.005276
Intersección (165,): -0.204375
Intersección (177,): -0.018138
Intersección (189,): -0.074027
Intersección (201,): 0.008329
Intersección (213,): -0.003600
Intersección (225,): 0.270475
Intersección (237,): -0.055985
Intersección (348,): -0.031472
Intersección (361,): 0.054691
Intersección (386,): 0.075438
Intersección (399,): -0.107856
Intersección (456,): 0.092671
Intersección (480,): 0.056265
Intersección (516,): 0.000000
Intersección (540,): 0.000000
Intersección (598,): 0.000000
Intersección (599,): -0.162420
Intersección (691,): -0.014092
Intersección (716,): -0.128596
Intersección (728,): 0.170298
Intersección (753,): 0.103761
Intersección (810,): 0.052422
Intersección (834,): 0.000000
Intersección (859,): -0.044258
Intersección (883,): 0.062054
Intersección (936,): 0.036429
Intersección (948,): -0.059981
Intersección (960,): -0.035852
Intersección (972,): 0.003075
Intersección (984,): 0.011870
Intersección (996,): 0.012460
Intersección (1008,): 0.021149
Intersección (1020,): -0.383683
Intersección (1211,): -0.309588
Intersección (1223,): -0.213159
Intersección (1259,): 0.024299
Intersección (1271,): -0.147002
