Intersección (153,): 0.340133
Intersección (165,): 1.083824
Intersección (177,): 0.153487
Intersección (189,): -0.222209
Intersección (201,): 0.362710
Intersección (213,): 0.359110
Intersección (225,): -0.141765
Intersección (237,): 0.696211
Intersección (348,): 0.095523
Intersección (361,): -0.118724
Intersección (386,): 0.000000
Intersección (399,): -0.245338
Intersección (456,): -0.262436
Intersección (480,): -0.094578
Intersección (516,): -0.113376
Intersección (540,): 1.219314
Intersección (598,): -0.462772
Intersección (599,): -0.221908
Intersección (691,): 0.000000
Intersección (716,): -0.095466
Intersección (728,): 0.246573
Intersección (753,): -1.109967
Intersección (810,): -0.295542
Intersección (834,): 0.016681
Intersección (859,): -0.047889
Intersección (883,): -0.034813
Intersección (936,): 0.346328
Intersección (948,): -0.048285
Intersección (960,): 0.695735
Intersección (972,): 0.072192
Intersección (984,): 0.256365
Intersección (996,): -1.148290
Intersección (1008,): 0.040193
Intersección (1020,): -0.228857
Intersección (1211,): 0.155759
Intersección (1223,): -0.700865
Intersección (1259,): 0.012574
Intersección (1271,): -0.225419
