Intersección (153,): 0.016252
Intersección (165,): 0.035258
Intersección (177,): 0.134811
Intersección (189,): 0.048261
Intersección (201,): 0.014516
Intersección (213,): 0.035718
Intersección (225,): 0.066209
Intersección (237,): -0.085651
Intersección (348,): -0.024580
Intersección (361,): 0.100735
Intersección (386,): 0.000000
Intersección (399,): -0.021473
Intersección (456,): 0.331196
Intersección (480,): -0.036835
Intersección (516,): 0.000000
Intersección (540,): -0.010909
Intersección (598,): 0.061682
Intersección (599,): -0.010739
Intersección (691,): 0.193395
Intersección (716,): 0.119349
Intersección (728,): 0.113258
Intersección (753,): 0.055075
Intersección (810,): 0.002752
Intersección (834,): 0.199756
Intersección (859,): 0.076882
Intersección (883,): 0.000000
Intersección (936,): 0.000000
Intersección (948,): 0.000518
Intersección (960,): -0.011324
Intersección (972,): -0.025557
Intersección (984,): 0.011634
Intersección (996,): 0.006457
Intersección (1008,): -0.309154
Intersección (1020,): 0.043497
Intersección (1211,): -0.014981
Intersección (1223,): 0.004805
Intersección (1259,): -0.064080
Intersección (1271,): 0.009076
