Intersección (153,): 0.084828
Intersección (165,): 0.043573
Intersección (177,): 0.084195
Intersección (189,): 0.037814
Intersección (201,): -0.075355
Intersección (213,): 0.207974
Intersección (225,): 0.089211
Intersección (237,): 0.654072
Intersección (348,): 0.033720
Intersección (361,): -0.080000
Intersección (386,): -0.118169
Intersección (399,): -0.132806
Intersección (456,): 0.063306
Intersección (480,): -0.144404
Intersección (516,): -0.238913
Intersección (540,): -0.021391
Intersección (598,): -0.063478
Intersección (599,): 0.331639
Intersección (691,): -0.217504
Intersección (716,): -0.361342
Intersección (728,): -0.175507
Intersección (753,): 0.079627
Intersección (810,): -0.111594
Intersección (834,): 0.110633
Intersección (859,): -0.242187
Intersección (883,): 0.000000
Intersección (936,): 0.018226
Intersección (948,): -0.331226
Intersección (960,): 0.151402
Intersección (972,): 0.041079
Intersección (984,): -0.054949
Intersección (996,): 0.116064
Intersección (1008,): -0.052778
Intersección (1020,): -0.017764
Intersección (1211,): 0.047598
Intersección (1223,): -0.060531
Intersección (1259,): -0.270629
Intersección (1271,): 0.001192
