Intersección (153,): 0.059260
Intersección (165,): 0.262718
Intersección (177,): -0.163899
Intersección (189,): 0.402757
Intersección (201,): -0.797329
Intersección (213,): 0.294739
Intersección (225,): 0.076619
Intersección (237,): -0.059442
Intersección (348,): -0.020517
Intersección (361,): 0.183572
Intersección (386,): -0.057099
Intersección (399,): 0.092866
Intersección (456,): 0.031926
Intersección (480,): 0.103763
Intersección (516,): -0.541239
Intersección (540,): 0.005216
Intersección (598,): 0.336810
Intersección (599,): -0.137833
Intersección (691,): -0.025608
Intersección (716,): 0.044750
Intersección (728,): 0.402292
Intersección (753,): -0.056079
Intersección (810,): 0.072323
Intersección (834,): 0.168013
Intersección (859,): -0.098941
Intersección (883,): 0.070579
Intersección (936,): -0.438742
Intersección (948,): -0.296643
Intersección (960,): -0.106555
Intersección (972,): -0.114488
Intersección (984,): -0.214738
Intersección (996,): -0.035255
Intersección (1008,): -0.159266
Intersección (1020,): 0.028357
Intersección (1211,): 0.047041
Intersección (1223,): -0.037018
Intersección (1259,): -0.139303
Intersección (1271,): 0.062332
