Intersección (1008,): 0.002478
Intersección (1020,): 0.003629
Intersección (1211,): 0.000619
Intersección (1223,): 0.002840
Intersección (1259,): 0.002703
Intersección (1271,): 0.009144
Intersección (153,): 0.003360
Intersección (165,): 0.003576
Intersección (177,): 0.002852
Intersección (189,): 0.002391
Intersección (201,): 0.001032
Intersección (213,): 0.001800
Intersección (225,): 0.003410
Intersección (237,): 0.001571
Intersección (348,): 0.001539
Intersección (361,): 0.001775
Intersección (386,): 0.003163
Intersección (399,): 0.000928
Intersección (456,): 0.003302
Intersección (480,): 0.003658
Intersección (516,): 0.002890
Intersección (540,): 0.003001
Intersección (598,): 0.003238
Intersección (599,): 0.001647
Intersección (691,): 0.002503
Intersección (716,): 0.003354
Intersección (728,): 0.003213
Intersección (753,): 0.000957
Intersección (810,): 0.002306
Intersección (834,): 0.001773
Intersección (859,): 0.001153
Intersección (883,): 0.002892
Intersección (936,): 0.003875
Intersección (948,): 0.002060
Intersección (960,): 0.001705
Intersección (972,): 0.002323
Intersección (984,): 0.003905
Intersección (996,): 0.001368
