Intersección (1008,): 0.001345
Intersección (1020,): 0.001330
Intersección (1211,): 0.003721
Intersección (1223,): 0.000953
Intersección (1259,): 0.003043
Intersección (1271,): 0.001450
Intersección (153,): 0.001651
Intersección (165,): 0.001765
Intersección (177,): 0.002036
Intersección (189,): 0.001881
Intersección (201,): 0.003857
Intersección (213,): 0.002117
Intersección (225,): 0.002504
Intersección (237,): 0.003231
Intersección (348,): 0.001971
Intersección (361,): 0.003189
Intersección (386,): 0.002173
Intersección (399,): 0.004639
Intersección (456,): 0.003443
Intersección (480,): 0.007105
Intersección (516,): 0.003502
Intersección (540,): 0.004644
Intersección (598,): 0.002672
Intersección (599,): 0.003621
Intersección (691,): 0.003568
Intersección (716,): 0.004991
Intersección (728,): 0.003510
Intersección (753,): 0.003538
Intersección (810,): 0.002093
Intersección (834,): 0.002863
Intersección (859,): 0.004704
Intersección (883,): 0.003740
Intersección (936,): 0.002858
Intersección (948,): 0.002850
Intersección (960,): 0.000876
Intersección (972,): 0.004424
Intersección (984,): 0.003771
Intersección (996,): 0.002125
