Intersección (1008,): 0.002548
Intersección (1020,): 0.003674
Intersección (1211,): 0.003659
Intersección (1223,): 0.002189
Intersección (1259,): 0.001697
Intersección (1271,): 0.004709
Intersección (153,): 0.001674
Intersección (165,): 0.002749
Intersección (177,): 0.001530
Intersección (189,): 0.001752
Intersección (201,): 0.002021
Intersección (213,): 0.003113
Intersección (225,): 0.001353
Intersección (237,): 0.002626
Intersección (348,): 0.002924
Intersección (361,): 0.003021
Intersección (386,): 0.000621
Intersección (399,): 0.002723
Intersección (456,): 0.001289
Intersección (480,): 0.002424
Intersección (516,): 0.001280
Intersección (540,): 0.002100
Intersección (598,): 0.002400
Intersección (599,): 0.002103
Intersección (691,): 0.002504
Intersección (716,): 0.004043
Intersección (728,): 0.003148
Intersección (753,): 0.003128
Intersección (810,): 0.002194
Intersección (834,): 0.001967
Intersección (859,): 0.002370
Intersección (883,): 0.002718
Intersección (936,): 0.003126
Intersección (948,): 0.002874
Intersección (960,): 0.002014
Intersección (972,): 0.000665
Intersección (984,): 0.005986
Intersección (996,): 0.002782
