Intersección (1008,): 0.013166
Intersección (1020,): 0.019393
Intersección (1211,): 0.023965
Intersección (1223,): 0.018620
Intersección (1259,): 0.014736
Intersección (1271,): 0.050977
Intersección (153,): 0.013367
Intersección (165,): 0.008884
Intersección (177,): 0.016993
Intersección (189,): 0.013226
Intersección (201,): 0.010180
Intersección (213,): 0.014922
Intersección (225,): 0.008452
Intersección (237,): 0.023053
Intersección (348,): 0.014748
Intersección (361,): 0.015566
Intersección (386,): 0.018292
Intersección (399,): 0.011747
Intersección (456,): 0.015654
Intersección (480,): 0.021663
Intersección (516,): 0.010652
Intersección (540,): 0.021727
Intersección (598,): 0.032702
Intersección (599,): 0.018518
Intersección (691,): 0.027353
Intersección (716,): 0.016226
Intersección (728,): 0.016586
Intersección (753,): 0.010663
Intersección (810,): 0.019724
Intersección (834,): 0.017196
Intersección (859,): 0.018742
Intersección (883,): 0.017317
Intersección (936,): 0.010351
Intersección (948,): 0.013119
Intersección (960,): 0.019507
Intersección (972,): 0.011597
Intersección (984,): 0.018430
Intersección (996,): 0.017435
