Intersección (1008,): 0.018567
Intersección (1020,): 0.012804
Intersección (1211,): 0.019762
Intersección (1223,): 0.012221
Intersección (1259,): 0.015937
Intersección (1271,): 0.017564
Intersección (153,): 0.006345
Intersección (165,): 0.014344
Intersección (177,): 0.013540
Intersección (189,): 0.008279
Intersección (201,): 0.009259
Intersección (213,): 0.014785
Intersección (225,): 0.011535
Intersección (237,): 0.011650
Intersección (348,): 0.023359
Intersección (361,): 0.013573
Intersección (386,): 0.013852
Intersección (399,): 0.019476
Intersección (456,): 0.014321
Intersección (480,): 0.010727
Intersección (516,): 0.010964
Intersección (540,): 0.009444
Intersección (598,): 0.007624
Intersección (599,): 0.016389
Intersección (691,): 0.016828
Intersección (716,): 0.013716
Intersección (728,): 0.011867
Intersección (753,): 0.019949
Intersección (810,): 0.007852
Intersección (834,): 0.019265
Intersección (859,): 0.012669
Intersección (883,): 0.004885
Intersección (936,): 0.010755
Intersección (948,): 0.012223
Intersección (960,): 0.016171
Intersección (972,): 0.015239
Intersección (984,): 0.009297
Intersección (996,): 0.008254
