Intersección (1008,): 0.011240
Intersección (1020,): 0.019534
Intersección (1211,): 0.016904
Intersección (1223,): 0.019003
Intersección (1259,): 0.016840
Intersección (1271,): 0.024007
Intersección (153,): 0.009122
Intersección (165,): 0.019465
Intersección (177,): 0.019081
Intersección (189,): 0.018911
Intersección (201,): 0.015167
Intersección (213,): 0.013566
Intersección (225,): 0.011879
Intersección (237,): 0.009362
Intersección (348,): 0.015354
Intersección (361,): 0.014746
Intersección (386,): 0.016345
Intersección (399,): 0.015664
Intersección (456,): 0.012159
Intersección (480,): 0.020728
Intersección (516,): 0.016113
Intersección (540,): 0.019971
Intersección (598,): 0.016357
Intersección (599,): 0.021808
Intersección (691,): 0.025276
Intersección (716,): 0.019476
Intersección (728,): 0.014269
Intersección (753,): 0.013510
Intersección (810,): 0.018444
Intersección (834,): 0.017511
Intersección (859,): 0.025213
Intersección (883,): 0.012374
Intersección (936,): 0.022131
Intersección (948,): 0.015382
Intersección (960,): 0.010935
Intersección (972,): 0.017015
Intersección (984,): 0.012834
Intersección (996,): 0.021711
