Intersección (1008,): 0.005367
Intersección (1020,): 0.004434
Intersección (1211,): 0.004697
Intersección (1223,): 0.005874
Intersección (1259,): 0.004882
Intersección (1271,): 0.009127
Intersección (153,): 0.005699
Intersección (165,): 0.006133
Intersección (177,): 0.006154
Intersección (189,): 0.007292
Intersección (201,): 0.005243
Intersección (213,): 0.005480
Intersección (225,): 0.004998
Intersección (237,): 0.006166
Intersección (348,): 0.007837
Intersección (361,): 0.007056
Intersección (386,): 0.009807
Intersección (399,): 0.004567
Intersección (456,): 0.004941
Intersección (480,): 0.011411
Intersección (516,): 0.004213
Intersección (540,): 0.009151
Intersección (598,): 0.011949
Intersección (599,): 0.008072
Intersección (691,): 0.006056
Intersección (716,): 0.008029
Intersección (728,): 0.008800
Intersección (753,): 0.005402
Intersección (810,): 0.006940
Intersección (834,): 0.005771
Intersección (859,): 0.007188
Intersección (883,): 0.003906
Intersección (936,): 0.005400
Intersección (948,): 0.006946
Intersección (960,): 0.007877
Intersección (972,): 0.006488
Intersección (984,): 0.002937
Intersección (996,): 0.007310
