Intersección (1008,): 0.012413
Intersección (1020,): 0.014187
Intersección (1211,): 0.013892
Intersección (1223,): 0.017713
Intersección (1259,): 0.014704
Intersección (1271,): 0.008813
Intersección (153,): 0.014696
Intersección (165,): 0.007239
Intersección (177,): 0.020044
Intersección (189,): 0.012521
Intersección (201,): 0.016241
Intersección (213,): 0.010139
Intersección (225,): 0.018055
Intersección (237,): 0.009523
Intersección (348,): 0.005866
Intersección (361,): 0.021424
Intersección (386,): 0.010330
Intersección (399,): 0.016790
Intersección (456,): 0.006702
Intersección (480,): 0.006571
Intersección (516,): 0.005977
Intersección (540,): 0.008807
Intersección (598,): 0.009321
Intersección (599,): 0.011327
Intersección (691,): 0.018354
Intersección (716,): 0.012307
Intersección (728,): 0.014915
Intersección (753,): 0.010226
Intersección (810,): 0.021623
Intersección (834,): 0.026352
Intersección (859,): 0.029150
Intersección (883,): 0.010167
Intersección (936,): 0.012694
Intersección (948,): 0.021823
Intersección (960,): 0.006670
Intersección (972,): 0.012925
Intersección (984,): 0.011379
Intersección (996,): 0.011512
