Intersección (1008,): 0.000928
Intersección (1020,): 0.001058
Intersección (1211,): 0.001008
Intersección (1223,): 0.002167
Intersección (1259,): 0.001822
Intersección (1271,): 0.001478
Intersección (153,): 0.003366
Intersección (165,): 0.002093
Intersección (177,): 0.002043
Intersección (189,): 0.002471
Intersección (201,): 0.002700
Intersección (213,): 0.004080
Intersección (225,): 0.001193
Intersección (237,): 0.002855
Intersección (348,): 0.001057
Intersección (361,): 0.003041
Intersección (386,): 0.001826
Intersección (399,): 0.003793
Intersección (456,): 0.005307
Intersección (480,): 0.001385
Intersección (516,): 0.002310
Intersección (540,): 0.005409
Intersección (598,): 0.001726
Intersección (599,): 0.003054
Intersección (691,): 0.002318
Intersección (716,): 0.001751
Intersección (728,): 0.001585
Intersección (753,): 0.000812
Intersección (810,): 0.002660
Intersección (834,): 0.001335
Intersección (859,): 0.001226
Intersección (883,): 0.001628
Intersección (936,): 0.001355
Intersección (948,): 0.001992
Intersección (960,): 0.001001
Intersección (972,): 0.001396
Intersección (984,): 0.001123
Intersección (996,): 0.003666
