Intersección (1008,): 0.012618
Intersección (1020,): 0.012067
Intersección (1211,): 0.014889
Intersección (1223,): 0.016215
Intersección (1259,): 0.016301
Intersección (1271,): 0.010551
Intersección (153,): 0.006433
Intersección (165,): 0.013553
Intersección (177,): 0.011534
Intersección (189,): 0.012219
Intersección (201,): 0.011735
Intersección (213,): 0.010128
Intersección (225,): 0.006605
Intersección (237,): 0.020252
Intersección (348,): 0.017179
Intersección (361,): 0.010488
Intersección (386,): 0.012371
Intersección (399,): 0.016856
Intersección (456,): 0.014435
Intersección (480,): 0.010106
Intersección (516,): 0.019709
Intersección (540,): 0.013093
Intersección (598,): 0.010517
Intersección (599,): 0.012483
Intersección (691,): 0.018359
Intersección (716,): 0.017993
Intersección (728,): 0.012217
Intersección (753,): 0.022504
Intersección (810,): 0.009487
Intersección (834,): 0.015150
Intersección (859,): 0.013681
Intersección (883,): 0.012897
Intersección (936,): 0.016610
Intersección (948,): 0.016617
Intersección (960,): 0.006971
Intersección (972,): 0.020639
Intersección (984,): 0.018716
Intersección (996,): 0.013620
