Intersección (1008,): 0.021599
Intersección (1020,): 0.023585
Intersección (1211,): 0.009852
Intersección (1223,): 0.019958
Intersección (1259,): 0.015869
Intersección (1271,): 0.008789
Intersección (153,): 0.013472
Intersección (165,): 0.011294
Intersección (177,): 0.020188
Intersección (189,): 0.016247
Intersección (201,): 0.008936
Intersección (213,): 0.025954
Intersección (225,): 0.013879
Intersección (237,): 0.014119
Intersección (348,): 0.014685
Intersección (361,): 0.013881
Intersección (386,): 0.015557
Intersección (399,): 0.008755
Intersección (456,): 0.015999
Intersección (480,): 0.012185
Intersección (516,): 0.017273
Intersección (540,): 0.012884
Intersección (598,): 0.015296
Intersección (599,): 0.012668
Intersección (691,): 0.024389
Intersección (716,): 0.014806
Intersección (728,): 0.012929
Intersección (753,): 0.014951
Intersección (810,): 0.013728
Intersección (834,): 0.013325
Intersección (859,): 0.014785
Intersección (883,): 0.014007
Intersección (936,): 0.013122
Intersección (948,): 0.015917
Intersección (960,): 0.020979
Intersección (972,): 0.011282
Intersección (984,): 0.010049
Intersección (996,): 0.015202
