Intersección (1008,): 0.014895
Intersección (1020,): 0.009553
Intersección (1211,): 0.012548
Intersección (1223,): 0.011152
Intersección (1259,): 0.010820
Intersección (1271,): 0.013564
Intersección (153,): 0.006991
Intersección (165,): 0.009782
Intersección (177,): 0.007281
Intersección (189,): 0.016460
Intersección (201,): 0.005996
Intersección (213,): 0.011209
Intersección (225,): 0.008389
Intersección (237,): 0.009436
Intersección (348,): 0.010312
Intersección (361,): 0.009406
Intersección (386,): 0.013503
Intersección (399,): 0.016101
Intersección (456,): 0.016201
Intersección (480,): 0.011687
Intersección (516,): 0.013369
Intersección (540,): 0.014174
Intersección (598,): 0.015648
Intersección (599,): 0.014603
Intersección (691,): 0.011464
Intersección (716,): 0.011194
Intersección (728,): 0.007809
Intersección (753,): 0.012054
Intersección (810,): 0.015442
Intersección (834,): 0.010081
Intersección (859,): 0.013842
Intersección (883,): 0.009512
Intersección (936,): 0.013919
Intersección (948,): 0.013226
Intersección (960,): 0.009324
Intersección (972,): 0.019176
Intersección (984,): 0.009943
Intersección (996,): 0.006837
