Intersección (1008,): 0.011161
Intersección (1020,): 0.017805
Intersección (1211,): 0.004045
Intersección (1223,): 0.012518
Intersección (1259,): 0.011019
Intersección (1271,): 0.016215
Intersección (153,): 0.013530
Intersección (165,): 0.008394
Intersección (177,): 0.009540
Intersección (189,): 0.010484
Intersección (201,): 0.010746
Intersección (213,): 0.009878
Intersección (225,): 0.010508
Intersección (237,): 0.014265
Intersección (348,): 0.015588
Intersección (361,): 0.008808
Intersección (386,): 0.009026
Intersección (399,): 0.011317
Intersección (456,): 0.013821
Intersección (480,): 0.011151
Intersección (516,): 0.015642
Intersección (540,): 0.014259
Intersección (598,): 0.013657
Intersección (599,): 0.010411
Intersección (691,): 0.014485
Intersección (716,): 0.010865
Intersección (728,): 0.017105
Intersección (753,): 0.014901
Intersección (810,): 0.010466
Intersección (834,): 0.015923
Intersección (859,): 0.009768
Intersección (883,): 0.014098
Intersección (936,): 0.010636
Intersección (948,): 0.009050
Intersección (960,): 0.012669
Intersección (972,): 0.015383
Intersección (984,): 0.005070
Intersección (996,): 0.008800
