Intersección (1008,): 0.014506
Intersección (1020,): 0.018699
Intersección (1211,): 0.015016
Intersección (1223,): 0.008176
Intersección (1259,): 0.010237
Intersección (1271,): 0.011350
Intersección (153,): 0.014760
Intersección (165,): 0.019333
Intersección (177,): 0.009161
Intersección (189,): 0.010761
Intersección (201,): 0.011610
Intersección (213,): 0.017051
Intersección (225,): 0.009470
Intersección (237,): 0.012886
Intersección (348,): 0.015805
Intersección (361,): 0.017478
Intersección (386,): 0.013614
Intersección (399,): 0.008158
Intersección (456,): 0.016204
Intersección (480,): 0.018393
Intersección (516,): 0.014512
Intersección (540,): 0.014935
Intersección (598,): 0.019585
Intersección (599,): 0.012647
Intersección (691,): 0.013581
Intersección (716,): 0.014493
Intersección (728,): 0.014029
Intersección (753,): 0.012355
Intersección (810,): 0.020820
Intersección (834,): 0.014977
Intersección (859,): 0.015102
Intersección (883,): 0.017156
Intersección (936,): 0.018700
Intersección (948,): 0.013743
Intersección (960,): 0.012339
Intersección (972,): 0.009880
Intersección (984,): 0.011828
Intersección (996,): 0.017711
