Intersección (1008,): 0.005972
Intersección (1020,): 0.003337
Intersección (1211,): 0.002469
Intersección (1223,): 0.004810
Intersección (1259,): 0.006682
Intersección (1271,): 0.004999
Intersección (153,): 0.010614
Intersección (165,): 0.002722
Intersección (177,): 0.002951
Intersección (189,): 0.004443
Intersección (201,): 0.011236
Intersección (213,): 0.005167
Intersección (225,): 0.003193
Intersección (237,): 0.002288
Intersección (348,): 0.002457
Intersección (361,): 0.003708
Intersección (386,): 0.003065
Intersección (399,): 0.004294
Intersección (456,): 0.004450
Intersección (480,): 0.004169
Intersección (516,): 0.003316
Intersección (540,): 0.002465
Intersección (598,): 0.002819
Intersección (599,): 0.003879
Intersección (691,): 0.001960
Intersección (716,): 0.005396
Intersección (728,): 0.006239
Intersección (753,): 0.005057
Intersección (810,): 0.006077
Intersección (834,): 0.003540
Intersección (859,): 0.006527
Intersección (883,): 0.004387
Intersección (936,): 0.004800
Intersección (948,): 0.007265
Intersección (960,): 0.004704
Intersección (972,): 0.005543
Intersección (984,): 0.010667
Intersección (996,): 0.005856
