Intersección (1008,): 0.002464
Intersección (1020,): 0.004988
Intersección (1211,): 0.001359
Intersección (1223,): 0.003444
Intersección (1259,): 0.002280
Intersección (1271,): 0.003548
Intersección (153,): 0.004181
Intersección (165,): 0.005789
Intersección (177,): 0.002794
Intersección (189,): 0.001762
Intersección (201,): 0.004864
Intersección (213,): 0.005043
Intersección (225,): 0.002244
Intersección (237,): 0.002668
Intersección (348,): 0.001136
Intersección (361,): 0.003801
Intersección (386,): 0.005106
Intersección (399,): 0.004621
Intersección (456,): 0.004043
Intersección (480,): 0.013724
Intersección (516,): 0.005542
Intersección (540,): 0.003686
Intersección (598,): 0.007569
Intersección (599,): 0.003567
Intersección (691,): 0.001131
Intersección (716,): 0.001819
Intersección (728,): 0.005616
Intersección (753,): 0.003971
Intersección (810,): 0.001765
Intersección (834,): 0.003796
Intersección (859,): 0.003031
Intersección (883,): 0.001967
Intersección (936,): 0.003129
Intersección (948,): 0.003979
Intersección (960,): 0.004456
Intersección (972,): 0.006307
Intersección (984,): 0.003358
Intersección (996,): 0.003502
