Intersección (1008,): 0.012618
Intersección (1020,): 0.018115
Intersección (1211,): 0.010081
Intersección (1223,): 0.015859
Intersección (1259,): 0.015384
Intersección (1271,): 0.010660
Intersección (153,): 0.009720
Intersección (165,): 0.022876
Intersección (177,): 0.012215
Intersección (189,): 0.016108
Intersección (201,): 0.020037
Intersección (213,): 0.020857
Intersección (225,): 0.013781
Intersección (237,): 0.013478
Intersección (348,): 0.009476
Intersección (361,): 0.011218
Intersección (386,): 0.013545
Intersección (399,): 0.014305
Intersección (456,): 0.009320
Intersección (480,): 0.012785
Intersección (516,): 0.011473
Intersección (540,): 0.012195
Intersección (598,): 0.006258
Intersección (599,): 0.012098
Intersección (691,): 0.008401
Intersección (716,): 0.015133
Intersección (728,): 0.014655
Intersección (753,): 0.008532
Intersección (810,): 0.010022
Intersección (834,): 0.008067
Intersección (859,): 0.014470
Intersección (883,): 0.008023
Intersección (936,): 0.010831
Intersección (948,): 0.012389
Intersección (960,): 0.007793
Intersección (972,): 0.004770
Intersección (984,): 0.023911
Intersección (996,): 0.012284
