Intersección (1008,): 0.020676
Intersección (1020,): 0.011736
Intersección (1211,): 0.023348
Intersección (1223,): 0.008155
Intersección (1259,): 0.009164
Intersección (1271,): 0.011082
Intersección (153,): 0.006821
Intersección (165,): 0.008116
Intersección (177,): 0.013498
Intersección (189,): 0.020942
Intersección (201,): 0.011678
Intersección (213,): 0.008092
Intersección (225,): 0.012904
Intersección (237,): 0.008353
Intersección (348,): 0.007878
Intersección (361,): 0.019648
Intersección (386,): 0.006909
Intersección (399,): 0.009014
Intersección (456,): 0.010655
Intersección (480,): 0.007886
Intersección (516,): 0.017160
Intersección (540,): 0.007398
Intersección (598,): 0.017145
Intersección (599,): 0.012273
Intersección (691,): 0.015004
Intersección (716,): 0.008776
Intersección (728,): 0.011797
Intersección (753,): 0.014817
Intersección (810,): 0.009960
Intersección (834,): 0.005901
Intersección (859,): 0.013815
Intersección (883,): 0.014054
Intersección (936,): 0.008914
Intersección (948,): 0.004563
Intersección (960,): 0.013053
Intersección (972,): 0.013082
Intersección (984,): 0.006086
Intersección (996,): 0.011847
