Intersección (1008,): 0.004696
Intersección (1020,): 0.004842
Intersección (1211,): 0.002669
Intersección (1223,): 0.007073
Intersección (1259,): 0.002011
Intersección (1271,): 0.003278
Intersección (153,): 0.005392
Intersección (165,): 0.002731
Intersección (177,): 0.009051
Intersección (189,): 0.002730
Intersección (201,): 0.005261
Intersección (213,): 0.003432
Intersección (225,): 0.004476
Intersección (237,): 0.007386
Intersección (348,): 0.003223
Intersección (361,): 0.004450
Intersección (386,): 0.009292
Intersección (399,): 0.004432
Intersección (456,): 0.003554
Intersección (480,): 0.003297
Intersección (516,): 0.002668
Intersección (540,): 0.003257
Intersección (598,): 0.007680
Intersección (599,): 0.006706
Intersección (691,): 0.006489
Intersección (716,): 0.005692
Intersección (728,): 0.006763
Intersección (753,): 0.005441
Intersección (810,): 0.007317
Intersección (834,): 0.002634
Intersección (859,): 0.003559
Intersección (883,): 0.005015
Intersección (936,): 0.006010
Intersección (948,): 0.004996
Intersección (960,): 0.004641
Intersección (972,): 0.005456
Intersección (984,): 0.004871
Intersección (996,): 0.002565
