Intersección (1008,): 0.005407
Intersección (1020,): 0.113854
Intersección (1211,): 0.092292
Intersección (1223,): 0.089308
Intersección (1259,): 0.113278
Intersección (1271,): 0.117742
Intersección (153,): 0.006501
Intersección (165,): 0.024452
Intersección (177,): 0.065226
Intersección (189,): 0.006496
Intersección (201,): 0.004641
Intersección (213,): 0.040504
Intersección (225,): 0.040556
Intersección (237,): 0.005303
Intersección (348,): 0.120372
Intersección (361,): 0.006199
Intersección (386,): 0.006511
Intersección (399,): 0.146221
Intersección (456,): 0.115095
Intersección (480,): 0.123714
Intersección (516,): 0.140953
Intersección (540,): 0.133771
Intersección (598,): 0.127873
Intersección (599,): 0.116120
Intersección (691,): 0.062054
Intersección (716,): 0.005418
Intersección (728,): 0.003453
Intersección (753,): 0.095052
Intersección (810,): 0.133376
Intersección (834,): 0.005726
Intersección (859,): 0.005771
Intersección (883,): 0.152161
Intersección (936,): 0.098702
Intersección (948,): 0.004642
Intersección (960,): 0.107689
Intersección (972,): 0.006807
Intersección (984,): 0.004679
Intersección (996,): 0.103110
