Intersección (1008,): 0.077551
Intersección (1020,): 0.045990
Intersección (1211,): 0.067361
Intersección (1223,): 0.076711
Intersección (1259,): 0.093944
Intersección (1271,): 0.032720
Intersección (153,): 0.097384
Intersección (165,): 0.081267
Intersección (177,): 0.097104
Intersección (189,): 0.082910
Intersección (201,): 0.101052
Intersección (213,): 0.089015
Intersección (225,): 0.079485
Intersección (237,): 0.052048
Intersección (348,): 0.007117
Intersección (361,): 0.085062
Intersección (386,): 0.058059
Intersección (399,): 0.064470
Intersección (456,): 0.012224
Intersección (480,): 0.015846
Intersección (516,): 0.068539
Intersección (540,): 0.003858
Intersección (598,): 0.004600
Intersección (599,): 0.009624
Intersección (691,): 0.017164
Intersección (716,): 0.085034
Intersección (728,): 0.064365
Intersección (753,): 0.040743
Intersección (810,): 0.019573
Intersección (834,): 0.047390
Intersección (859,): 0.072626
Intersección (883,): 0.004216
Intersección (936,): 0.084497
Intersección (948,): 0.082503
Intersección (960,): 0.086636
Intersección (972,): 0.085984
Intersección (984,): 0.086222
Intersección (996,): 0.080380
