Intersección (1008,): 0.112410
Intersección (1020,): 0.005819
Intersección (1211,): 0.008517
Intersección (1223,): 0.006285
Intersección (1259,): 0.004842
Intersección (1271,): 0.007362
Intersección (153,): 0.091371
Intersección (165,): 0.045361
Intersección (177,): 0.005340
Intersección (189,): 0.074791
Intersección (201,): 0.060529
Intersección (213,): 0.008226
Intersección (225,): 0.026179
Intersección (237,): 0.116975
Intersección (348,): 0.120631
Intersección (361,): 0.122763
Intersección (386,): 0.100248
Intersección (399,): 0.071680
Intersección (456,): 0.124093
Intersección (480,): 0.078432
Intersección (516,): 0.053000
Intersección (540,): 0.116918
Intersección (598,): 0.045256
Intersección (599,): 0.067069
Intersección (691,): 0.110115
Intersección (716,): 0.099630
Intersección (728,): 0.106109
Intersección (753,): 0.131394
Intersección (810,): 0.100519
Intersección (834,): 0.130205
Intersección (859,): 0.111733
Intersección (883,): 0.102604
Intersección (936,): 0.009106
Intersección (948,): 0.103456
Intersección (960,): 0.008099
Intersección (972,): 0.097189
Intersección (984,): 0.070613
Intersección (996,): 0.008964
