Intersección (1008,): 0.018469
Intersección (1020,): 0.010523
Intersección (1211,): 0.010111
Intersección (1223,): 0.015447
Intersección (1259,): 0.020636
Intersección (1271,): 0.014977
Intersección (153,): 0.013269
Intersección (165,): 0.015212
Intersección (177,): 0.011041
Intersección (189,): 0.022917
Intersección (201,): 0.021321
Intersección (213,): 0.018817
Intersección (225,): 0.015834
Intersección (237,): 0.011570
Intersección (348,): 0.015337
Intersección (361,): 0.016392
Intersección (386,): 0.020263
Intersección (399,): 0.013526
Intersección (456,): 0.014671
Intersección (480,): 0.012535
Intersección (516,): 0.013389
Intersección (540,): 0.012719
Intersección (598,): 0.014033
Intersección (599,): 0.011277
Intersección (691,): 0.012489
Intersección (716,): 0.023766
Intersección (728,): 0.026000
Intersección (753,): 0.017073
Intersección (810,): 0.016181
Intersección (834,): 0.017022
Intersección (859,): 0.020430
Intersección (883,): 0.017422
Intersección (936,): 0.016359
Intersección (948,): 0.024430
Intersección (960,): 0.013717
Intersección (972,): 0.017272
Intersección (984,): 0.015889
Intersección (996,): 0.023362
