Intersección (1008,): 0.010984
Intersección (1020,): 0.009045
Intersección (1211,): 0.008898
Intersección (1223,): 0.009071
Intersección (1259,): 0.010111
Intersección (1271,): 0.004097
Intersección (153,): 0.008029
Intersección (165,): 0.016392
Intersección (177,): 0.010774
Intersección (189,): 0.008789
Intersección (201,): 0.010690
Intersección (213,): 0.017194
Intersección (225,): 0.008075
Intersección (237,): 0.030998
Intersección (348,): 0.009512
Intersección (361,): 0.006779
Intersección (386,): 0.013020
Intersección (399,): 0.009182
Intersección (456,): 0.019367
Intersección (480,): 0.009621
Intersección (516,): 0.014972
Intersección (540,): 0.006804
Intersección (598,): 0.012886
Intersección (599,): 0.012753
Intersección (691,): 0.013373
Intersección (716,): 0.011439
Intersección (728,): 0.012322
Intersección (753,): 0.010561
Intersección (810,): 0.015203
Intersección (834,): 0.011789
Intersección (859,): 0.012412
Intersección (883,): 0.008974
Intersección (936,): 0.012671
Intersección (948,): 0.010942
Intersección (960,): 0.006918
Intersección (972,): 0.006405
Intersección (984,): 0.010389
Intersección (996,): 0.008764
