Intersección (1008,): 0.013731
Intersección (1020,): 0.021334
Intersección (1211,): 0.021361
Intersección (1223,): 0.017324
Intersección (1259,): 0.022582
Intersección (1271,): 0.018991
Intersección (153,): 0.021044
Intersección (165,): 0.017839
Intersección (177,): 0.009895
Intersección (189,): 0.014948
Intersección (201,): 0.033650
Intersección (213,): 0.010994
Intersección (225,): 0.018948
Intersección (237,): 0.033369
Intersección (348,): 0.034193
Intersección (361,): 0.027123
Intersección (386,): 0.038009
Intersección (399,): 0.007394
Intersección (456,): 0.014989
Intersección (480,): 0.005854
Intersección (516,): 0.004655
Intersección (540,): 0.011877
Intersección (598,): 0.006282
Intersección (599,): 0.004272
Intersección (691,): 0.014833
Intersección (716,): 0.006398
Intersección (728,): 0.006140
Intersección (753,): 0.025345
Intersección (810,): 0.019070
Intersección (834,): 0.021032
Intersección (859,): 0.016518
Intersección (883,): 0.012261
Intersección (936,): 0.026596
Intersección (948,): 0.016109
Intersección (960,): 0.026367
Intersección (972,): 0.030274
Intersección (984,): 0.027063
Intersección (996,): 0.037228
