Intersección (1008,): 0.008333
Intersección (1020,): 0.069608
Intersección (1211,): 0.012313
Intersección (1223,): 0.018108
Intersección (1259,): 0.009836
Intersección (1271,): 0.069258
Intersección (153,): 0.015727
Intersección (165,): 0.018243
Intersección (177,): 0.021456
Intersección (189,): 0.015670
Intersección (201,): 0.012269
Intersección (213,): 0.011083
Intersección (225,): 0.008721
Intersección (237,): 0.016106
Intersección (348,): 0.006189
Intersección (361,): 0.011415
Intersección (386,): 0.010476
Intersección (399,): 0.019825
Intersección (456,): 0.017377
Intersección (480,): 0.016038
Intersección (516,): 0.013568
Intersección (540,): 0.015689
Intersección (598,): 0.005698
Intersección (599,): 0.022172
Intersección (691,): 0.008854
Intersección (716,): 0.016261
Intersección (728,): 0.020959
Intersección (753,): 0.007164
Intersección (810,): 0.007306
Intersección (834,): 0.013831
Intersección (859,): 0.010094
Intersección (883,): 0.010142
Intersección (936,): 0.007288
Intersección (948,): 0.006757
Intersección (960,): 0.010598
Intersección (972,): 0.015812
Intersección (984,): 0.015969
Intersección (996,): 0.018952
