Intersección (1008,): 0.012930
Intersección (1020,): 0.015066
Intersección (1211,): 0.017900
Intersección (1223,): 0.016629
Intersección (1259,): 0.013653
Intersección (1271,): 0.017061
Intersección (153,): 0.019066
Intersección (165,): 0.018216
Intersección (177,): 0.015168
Intersección (189,): 0.010609
Intersección (201,): 0.022350
Intersección (213,): 0.017861
Intersección (225,): 0.014101
Intersección (237,): 0.015890
Intersección (348,): 0.017480
Intersección (361,): 0.006952
Intersección (386,): 0.025934
Intersección (399,): 0.011323
Intersección (456,): 0.012185
Intersección (480,): 0.013845
Intersección (516,): 0.013795
Intersección (540,): 0.022213
Intersección (598,): 0.016143
Intersección (599,): 0.024684
Intersección (691,): 0.016334
Intersección (716,): 0.017541
Intersección (728,): 0.010223
Intersección (753,): 0.011825
Intersección (810,): 0.015751
Intersección (834,): 0.018071
Intersección (859,): 0.020122
Intersección (883,): 0.004600
Intersección (936,): 0.012509
Intersección (948,): 0.019013
Intersección (960,): 0.013055
Intersección (972,): 0.020569
Intersección (984,): 0.018592
Intersección (996,): 0.010257
