Intersección (1008,): 0.007749
Intersección (1020,): 0.009931
Intersección (1211,): 0.016731
Intersección (1223,): 0.011913
Intersección (1259,): 0.007960
Intersección (1271,): 0.014131
Intersección (153,): 0.011083
Intersección (165,): 0.011364
Intersección (177,): 0.015290
Intersección (189,): 0.013575
Intersección (201,): 0.010728
Intersección (213,): 0.014000
Intersección (225,): 0.019561
Intersección (237,): 0.017880
Intersección (348,): 0.009314
Intersección (361,): 0.019551
Intersección (386,): 0.016748
Intersección (399,): 0.011037
Intersección (456,): 0.014105
Intersección (480,): 0.014830
Intersección (516,): 0.015575
Intersección (540,): 0.010436
Intersección (598,): 0.017748
Intersección (599,): 0.013636
Intersección (691,): 0.008935
Intersección (716,): 0.011454
Intersección (728,): 0.017809
Intersección (753,): 0.008646
Intersección (810,): 0.019795
Intersección (834,): 0.013667
Intersección (859,): 0.014661
Intersección (883,): 0.015550
Intersección (936,): 0.011605
Intersección (948,): 0.010188
Intersección (960,): 0.015806
Intersección (972,): 0.012806
Intersección (984,): 0.019463
Intersección (996,): 0.010019
