Intersección (1008,): 0.003922
Intersección (1020,): 0.002715
Intersección (1211,): 0.002030
Intersección (1223,): 0.002034
Intersección (1259,): 0.001303
Intersección (1271,): 0.003335
Intersección (153,): 0.001580
Intersección (165,): 0.005134
Intersección (177,): 0.002303
Intersección (189,): 0.008187
Intersección (201,): 0.005585
Intersección (213,): 0.005690
Intersección (225,): 0.002768
Intersección (237,): 0.003428
Intersección (348,): 0.004306
Intersección (361,): 0.001019
Intersección (386,): 0.002667
Intersección (399,): 0.010104
Intersección (456,): 0.002302
Intersección (480,): 0.001145
Intersección (516,): 0.002217
Intersección (540,): 0.002253
Intersección (598,): 0.004805
Intersección (599,): 0.003869
Intersección (691,): 0.003093
Intersección (716,): 0.001413
Intersección (728,): 0.003052
Intersección (753,): 0.002862
Intersección (810,): 0.003245
Intersección (834,): 0.002651
Intersección (859,): 0.004929
Intersección (883,): 0.003403
Intersección (936,): 0.000686
Intersección (948,): 0.006338
Intersección (960,): 0.003195
Intersección (972,): 0.002743
Intersección (984,): 0.001469
Intersección (996,): 0.004490
